AK-47 | Jet Set (Well-Worn)
Desert Eagle | Fennec Fox (Field-Tested)
StatTrak™ AWP | Chrome Cannon (Factory New)
StatTrak™ MAC-10 | Stalker (Factory New)
AUG | Akihabara Accept (Battle-Scarred)
FAMAS | Spitfire (Factory New)
StatTrak™ AWP | Containment Breach (Minimal Wear)
M4A4 | The Coalition (Factory New)
Souvenir USP-S | Royal Blue (Factory New)
StatTrak™ M4A4 | Asiimov (Well-Worn)
StatTrak™ AWP | Wildfire (Factory New)
StatTrak™ USP-S | Printstream (Factory New)
MAC-10 | Copper Borre (Battle-Scarred)
Desert Eagle | Fennec Fox (Well-Worn)
AK-47 | Case Hardened (Minimal Wear)
StatTrak™ AK-47 | Bloodsport (Minimal Wear)
Souvenir M4A1-S | Boreal Forest (Minimal Wear)
StatTrak™ M4A1-S | Printstream (Well-Worn)
AWP | CMYK (Field-Tested)
Souvenir Glock-18 | Candy Apple (Minimal Wear)
StatTrak™ AK-47 | Inheritance (Minimal Wear)
Desert Eagle | Fennec Fox (Battle-Scarred)
StatTrak™ AK-47 | Fuel Injector (Well-Worn)
AK-47 | Panthera onca (Minimal Wear)
StatTrak™ USP-S | Kill Confirmed (Minimal Wear)
StatTrak™ AWP | Asiimov (Field-Tested)
Souvenir Desert Eagle | Fennec Fox (Minimal Wear)
StatTrak™ USP-S | Overgrowth (Factory New)
AK-47 | Fuel Injector (Minimal Wear)
AK-47 | Vulcan (Field-Tested)
StatTrak™ AK-47 | Vulcan (Well-Worn)
StatTrak™ Desert Eagle | Golden Koi (Factory New)
AWP | Oni Taiji (Field-Tested)
AK-47 | B the Monster (Well-Worn)
MP9 | Bulldozer (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Factory New)
AWP | Silk Tiger (Factory New)
AK-47 | Case Hardened (Field-Tested)
StatTrak™ M4A4 | Temukau (Factory New)
StatTrak™ AK-47 | Red Laminate (Minimal Wear)
USP-S | Whiteout (Factory New)
StatTrak™ AK-47 | Bloodsport (Field-Tested)
StatTrak™ AWP | Hyper Beast (Factory New)
MAC-10 | Hot Snakes (Factory New)
Souvenir AWP | Safari Mesh (Battle-Scarred)
StatTrak™ M4A1-S | Vaporwave (Minimal Wear)
M4A1-S | Vaporwave (Factory New)
StatTrak™ M4A4 | Royal Paladin (Factory New)
AWP | CMYK (Well-Worn)
StatTrak™ AWP | BOOM (Minimal Wear)
StatTrak™ AK-47 | Jaguar (Minimal Wear)
StatTrak™ AK-47 | Bloodsport (Well-Worn)
Souvenir Desert Eagle | Hand Cannon (Field-Tested)
M4A1-S | Printstream (Field-Tested)
AK-47 | Wasteland Rebel (Factory New)
StatTrak™ Desert Eagle | Hypnotic (Minimal Wear)
